"Country","HDI","Country_AIPMean"
"Dominican Republic","0.722",4.53333333333333
"Cyprus","0.856",4.4
"Qatar","0.856",4.06666666666667
"Panama","0.788",4
"Iceland","0.921",3.86666666666667
"Ecuador","0.739",3.75555555555556
"Sri Lanka","0.766",3.73333333333333
"Kenya","0.555",3.66666666666667
"Turkey","0.767",3.65185185185185
"Uruguay","0.795",3.6
"France","0.897",3.56410256410256
"Iran","0.774",3.53333333333333
"Myanmar","0.556",3.53333333333333
"Nicaragua","0.645",3.53333333333333
"Poland","0.855",3.53333333333333
